ORF,Gene,SWAT GFP localization,mCherry localization,Seamless GFP localization,"C' GFP localization (Won-Ki H. et. al. 2003)",SWAT GFP intensity median (a.u.),Seamless GFP intensity median (a.u.),Library tybe
YLR019W,PSR2,cytosol,cytosol,ambigous,below threshold,44.5,17.9,SWAT-GFP
YLR020C,YEH2,cell periphery,"cell periphery,vacuole",punctate,cytosol,50.5,12.4,SWAT-GFP
YLR023C,IZH3,"ambigous,ER","ambigous,ER","cell periphery,ER",ER,19.3,9.0,SWAT-GFP
YLR025W,SNF7,punctate,punctate,punctate,punctate,124.3,37.4,SWAT-GFP
YLR026C,SED5,punctate,punctate,punctate,0,66.2,13.4,SWAT-GFP
YLR027C,AAT2,punctate,punctate,punctate,0,169.8,82.0,SWAT-GFP
YLR034C,SMF3,vacuole membrane,vacuole membrane,0,ER,54.3,N/D,SWAT-GFP
YLR037C,PAU23,"ER,vacuole",vacuole,below threshold,below threshold,35.8,10.9,SWAT-SP-GFP
YLR039C,RIC1,cytosol,"cytosol,punctate",below threshold,punctate,39.9,9.6,SWAT-GFP
YLR040C,AFB1,cell periphery,"cell periphery,vacuole",cell periphery,0,42.9,23.0,SWAT-SP-GFP
YLR042C,YLR042C,"cell periphery,vacuole","cell periphery,vacuole",below threshold,ER,25.2,11.2,SWAT-SP-GFP
YLR043C,TRX1,"cytosol,nucleus","cytosol,nucleus","cytosol,nucleus","nucleus,cytosol",330.4,88.1,SWAT-GFP
YLR046C,YLR046C,vacuole,vacuole,vacuole,below threshold,35.8,10.3,SWAT-GFP
YLR047C,FRE8,ER,ER,below threshold,below threshold,20.4,9.3,SWAT-GFP
YLR050C,YLR050C,ER,ER,ER,ER,147.3,17.1,SWAT-GFP
YLR056W,ERG3,ER,0,0,ER,29.6,N/D,SWAT-GFP
YLR057W,MNL2,vacuole,0,below threshold,below threshold,17.0,10.1,SWAT-GFP
YLR064W,PER33,ER,ER,cytosol,ER,118.1,43.6,SWAT-GFP
YLR065C,ENV10,ER,ER,ER,ambiguous,96.3,25.9,SWAT-GFP
YLR066W,SPC3,ER,ER,0,ER,72.0,N/D,SWAT-GFP
YLR069C,MEF1,cytosol,cytosol,below threshold,0,62.0,9.4,SWAT-GFP
YLR072W,LAM6,"punctate,mitochondria","punctate,mitochondria","punctate,mitochondria","mitochondria,punctate",63.8,11.6,SWAT-GFP
YLR078C,BOS1,punctate,punctate,punctate,0,61.4,8.9,SWAT-GFP
YLR080W,EMP46,"below threshold,ER","below threshold,vacuole","below threshold,ER",vacuole,17.9,9.1,SWAT-GFP
YLR081W,GAL2,cell periphery,"cell periphery,vacuole",below threshold,below threshold,42.7,9.2,SWAT-GFP
YLR083C,EMP70,punctate,"vacuole,punctate",punctate,vacuole,98.0,30.1,SWAT-SP-GFP
YLR084C,RAX2,"ER,bud neck","ER,bud neck",ambigous,"bud neck,cell periphery",43.9,15.0,SWAT-SP-GFP
YLR087C,CSF1,punctate,0,0,0,N/D,N/D,SWAT-GFP
YLR088W,GAA1,ER,ER,ER,ER,71.6,17.0,SWAT-GFP
YLR092W,SUL2,"ambigous,vacuole membrane",vacuole,ER,cytosol,24.2,9.6,SWAT-GFP
YLR093C,NYV1,vacuole membrane,vacuole membrane,0,vacuole,24.7,N/D,SWAT-GFP
YLR099W-A,MIM2,mitochondria,0,0,below threshold,N/D,N/D,SWAT-GFP
YLR100W,ERG27,"ER,punctate","ER,punctate",punctate,punctate,163.4,29.8,SWAT-GFP
YLR104W,LCL2,"ER,vacuole",vacuole,punctate,below threshold,100.2,28.0,SWAT-SP-GFP
YLR109W,AHP1,cytosol,cytosol,below threshold,"nucleus,cytosol",288.4,491.5,SWAT-GFP
YLR110C,CCW12,"cell periphery,vacuole","cell periphery,vacuole",cytosol,ER,73.3,2627.4,SWAT-SP-GFP
YLR114C,AVL9,bud neck,bud neck,bud neck,cytosol,65.5,14.5,SWAT-GFP
YLR119W,SRN2,nucleus,nucleus,below threshold,below threshold,33.9,10.0,SWAT-GFP
YLR120C,YPS1,ER,cytosol,ambigous,ER,17.6,19.1,SWAT-SP-GFP
YLR121C,YPS3,ambigous,vacuole,below threshold,mitochondria,23.3,11.7,SWAT-SP-GFP
YLR130C,ZRT2,ER,ER,ER,ER,37.7,13.9,SWAT-GFP
YLR138W,NHA1,ER,cytosol,ER,cell periphery,44.2,13.3,SWAT-GFP
YLR145W,RMP1,nucleus,nucleus,nucleus,"nucleus,cytosol",28.5,12.3,SWAT-GFP
YLR148W,PEP3,punctate,punctate,punctate,punctate,46.5,18.0,SWAT-GFP
YLR151C,PCD1,cytosol,cytosol,below threshold,below threshold,41.7,N/D,SWAT-GFP
YLR152C,YLR152C,ER,0,below threshold,0,16.2,8.5,SWAT-GFP
YLR154C-G,YLR154C-G,below threshold,0,below threshold,0,11.6,12.7,SWAT-GFP
YLR160C,ASP3-4,cell periphery,"cell periphery,vacuole",below threshold,below threshold,74.5,11.6,SWAT-SP-GFP
YLR166C,SEC10,bud neck,bud neck,bud neck,"ambiguous,neck,cell periphery,bud,bud neck",71.2,14.1,SWAT-GFP
YLR170C,APS1,punctate,cytosol,punctate,0,48.3,18.5,SWAT-GFP
YLR173W,YLR173W,vacuole membrane,vacuole membrane,vacuole,below threshold,39.4,12.6,SWAT-GFP
YLR191W,PEX13,punctate,punctate,punctate,punctate,43.5,16.2,SWAT-GFP
YLR194C,YLR194C,"vacuole,bud neck","vacuole,bud neck",cell periphery,ER,23.2,23.0,SWAT-SP-GFP
YLR206W,ENT2,punctate,punctate,"below threshold,punctate",punctate,83.0,22.2,SWAT-GFP
YLR207W,HRD3,ER,ER,"ambigous,ER",below threshold,63.9,16.1,SWAT-SP-GFP
YLR208W,SEC13,"cell periphery,punctate","cell periphery,punctate","cell periphery,punctate",ER to punctate,229.2,57.6,SWAT-GFP
YLR212C,TUB4,punctate,"punctate,nucleus",punctate,punctate,61.6,18.0,SWAT-GFP
YLR213C,CRR1,vacuole,vacuole,below threshold,below threshold,38.6,11.7,SWAT-SP-GFP
YLR214W,FRE1,ER,vacuole,below threshold,cytosol,35.6,12.4,SWAT-SP-GFP
YLR220W,CCC1,vacuole membrane,vacuole membrane,vacuole membrane,vacuole,78.9,24.0,SWAT-GFP
YLR229C,CDC42,"cell periphery,vacuole membrane","cell periphery,vacuole membrane",0,0,189.6,N/D,SWAT-GFP
YLR237W,THI7,"cell periphery,ER","cell periphery,vacuole",cell periphery,"cell periphery,vacuole",79.5,N/D,SWAT-GFP
YLR238W,FAR10,"ER,punctate",0,0,0,N/D,N/D,SWAT-GFP
YLR240W,VPS34,"cytosol,punctate","cytosol,punctate",punctate,punctate,48.4,15.6,SWAT-GFP
YLR241W,CSC1,ER,ER,punctate,below threshold,23.1,8.8,SWAT-GFP
YLR242C,ARV1,ER,ER,"below threshold,ER",below threshold,42.8,9.6,SWAT-GFP
YLR243W,GPN3,ER,vacuole,below threshold,0,36.9,10.7,SWAT-SP-GFP
YLR246W,ERF2,below threshold,"cell periphery,vacuole",ambigous,below threshold,17.6,11.8,SWAT-GFP
YLR250W,SSP120,"punctate,vacuole",vacuole,punctate,"punctate,punctate,punctate",78.8,49.7,SWAT-SP-GFP
YLR251W,SYM1,mitochondria,0,0,below threshold,N/D,N/D,SWAT-GFP
YLR260W,LCB5,nucleus,"cytosol,nucleus",cytosol,ambiguous,46.4,13.5,SWAT-GFP
YLR262C,YPT6,punctate,punctate,punctate,cytosol,74.0,23.1,SWAT-GFP
YLR265C,NEJ1,nucleus,0,0,"nucleus,cytosol",N/D,N/D,SWAT-GFP
YLR268W,SEC22,ER,ER,ER,punctate,121.0,19.8,SWAT-GFP
YLR283W,YLR283W,ER,ER,below threshold,mitochondria,146.2,12.1,SWAT-SP-GFP
YLR284C,ECI1,punctate,punctate,punctate,below threshold,93.9,14.8,SWAT-GFP
YLR286C,CTS1,vacuole,cytosol,vacuole,vacuole,54.3,32.5,SWAT-SP-GFP
YLR289W,GUF1,nucleus,nucleus,"ambigous,mitochondria",mitochondria,21.3,9.7,SWAT-GFP
YLR291C,GCD7,cytosol,"cytosol,punctate",cytosol,"cytosol,punctate",102.9,36.7,SWAT-GFP
YLR292C,SEC72,ER,"punctate,nucleus",ER,ER,97.4,21.4,SWAT-GFP
YLR293C,GSP1,cytosol,cytosol,0,0,N/D,N/D,SWAT-GFP
YLR297W,YLR297W,ambigous,vacuole,ambigous,vacuole,35.4,12.9,SWAT-GFP
YLR299W,ECM38,below threshold,cytosol,below threshold,ambiguous,14.2,8.9,SWAT-GFP
YLR300W,EXG1,"ER,vacuole",vacuole,vacuole,vacuole,43.3,25.4,SWAT-SP-GFP
YLR301W,HRI1,cytosol,cytosol,cytosol,"nucleus,cytosol",237.4,49.9,SWAT-GFP
YLR307W,CDA1,ER,punctate,ambigous,cytosol,63.4,12.1,SWAT-SP-GFP
YLR308W,CDA2,below threshold,vacuole,below threshold,below threshold,12.2,11.1,SWAT-SP-GFP
YLR309C,IMH1,punctate,punctate,below threshold,cytosol,68.0,0.0,SWAT-GFP
YLR314C,CDC3,bud neck,bud neck,bud neck,below threshold,117.2,26.0,SWAT-GFP
YLR324W,PEX30,"cell periphery,ER,bud","cell periphery,ER,bud",below threshold,punctate,62.2,15.7,SWAT-GFP
YLR326W,YLR326W,cell periphery,cell periphery,below threshold,cytosol,62.9,15.3,SWAT-GFP
YLR330W,CHS5,"cytosol,punctate","cytosol,punctate",punctate,punctate,101.0,23.5,SWAT-GFP
YLR332W,MID2,vacuole,"cell periphery,vacuole",vacuole,cell periphery,23.0,16.6,SWAT-SP-GFP
YLR337C,VRP1,punctate,0,"punctate,bud neck","punctate,punctate",74.2,17.8,SWAT-GFP
YLR342W,FKS1,"cell periphery,bud","cell periphery,bud","cell periphery,bud neck",vacuole,120.1,61.3,SWAT-GFP
YLR342W-A,YLR342W-A,below threshold,below threshold,below threshold,0,11.6,9.4,SWAT-GFP
YLR343W,GAS2,vacuole,vacuole,below threshold,cytosol,68.3,11.6,SWAT-SP-GFP
YLR350W,ORM2,ER,0,0,ER,N/D,N/D,SWAT-GFP
YLR353W,BUD8,"cell periphery,bud neck",0,0,"ambiguous,neck,cell periphery,bud,bud neck",N/D,N/D,SWAT-GFP
YLR356W,ATG33,mitochondria,mitochondria,mitochondria,mitochondria,35.4,11.2,SWAT-GFP
YLR360W,VPS38,punctate,punctate,punctate,punctate,21.9,10.9,SWAT-GFP
YLR361C,DCR2,vacuole,vacuole,below threshold,below threshold,30.9,10.6,SWAT-GFP
YLR368W,MDM30,nucleus,nucleus,below threshold,below threshold,40.5,11.8,SWAT-GFP
YLR371W,ROM2,"cell periphery,nucleus","cell periphery,nucleus",ambigous,"neck,bud,cytosol,bud neck",30.1,10.7,SWAT-GFP
YLR372W,ELO3,ER,0,0,ER,N/D,N/D,SWAT-GFP
YLR376C,PSY3,"cytosol,nucleus","cytosol,nucleus",below threshold,"nucleus,cytosol",42.4,9.7,SWAT-GFP
YLR378C,SEC61,ER,"ER,vacuole",ER,ER,125.7,88.2,SWAT-GFP
YLR380W,CSR1,cytosol,cytosol,ambigous,cytosol,132.3,23.4,SWAT-GFP
YLR385C,SWC7,ER,vacuole,nucleus,nucleus,26.1,14.7,SWAT-SP-GFP
YLR389C,STE23,"punctate,mitochondria","punctate,mitochondria","punctate,mitochondria",below threshold,90.6,14.8,SWAT-GFP
YLR390W-A,CCW14,"cell periphery,vacuole",cytosol,cell periphery,ER,63.1,92.8,SWAT-SP-GFP
YLR396C,VPS33,punctate,punctate,punctate,vacuole membrane,60.2,17.3,SWAT-GFP
YLR403W,SFP1,nucleus,nucleus,nucleus,"nucleus,cytosol",58.1,26.3,SWAT-SP-GFP
YLR406C-A,YLR406C-A,"ER,vacuole",vacuole,punctate,0,27.7,16.2,SWAT-SP-GFP
YLR411W,CTR3,ER,ER,below threshold,below threshold,28.2,9.5,SWAT-GFP
YLR413W,INA1,"cell periphery,ER,vacuole","cell periphery,vacuole","cell periphery,vacuole",cell periphery,65.4,41.5,SWAT-SP-GFP
YLR414C,PUN1,"cell periphery,ER","cell periphery,vacuole","cell periphery,ER","ambiguous,cell periphery,bud,cytosol",56.2,24.2,SWAT-SP-GFP
YLR417W,VPS36,punctate,punctate,below threshold,cytosol,30.1,10.9,SWAT-GFP
YLR423C,ATG17,nucleus,nucleus,punctate,punctate,50.4,10.3,SWAT-GFP
YLR426W,TDA5,ER,ER,below threshold,below threshold,16.1,8.6,SWAT-GFP
YLR440C,SEC39,cytosol,0,0,ER,N/D,N/D,SWAT-GFP
YLR443W,ECM7,vacuole,vacuole,below threshold,below threshold,N/D,N/D,SWAT-GFP
YLR447C,VMA6,vacuole membrane,vacuole membrane,below threshold,vacuole membrane,303.6,9.1,SWAT-GFP
YLR450W,HMG2,ER,ER,below threshold,nuclear periphery,73.7,10.8,SWAT-GFP
YLR459W,GAB1,ER,cytosol,ER,ER,54.6,16.7,SWAT-GFP
YLR461W,PAU4,"ER,vacuole",vacuole,below threshold,below threshold,43.4,11.4,SWAT-SP-GFP
YML001W,YPT7,vacuole membrane,vacuole membrane,vacuole membrane,"nucleus,cytosol",136.3,33.1,SWAT-GFP
YML006C,GIS4,cell periphery,cell periphery,ambigous,cytosol,38.8,16.9,SWAT-GFP
YML008C,ERG6,punctate,punctate,punctate,punctate,165.0,109.3,SWAT-GFP
YML012W,ERV25,"punctate,vacuole",vacuole,punctate,ER,67.5,49.6,SWAT-SP-GFP
YML013W,UBX2,ER,ER,ER,ER,69.7,20.1,SWAT-GFP
YML018C,YML018C,vacuole membrane,0,vacuole membrane,vacuole membrane,63.5,21.8,SWAT-GFP
YML019W,OST6,ER,"ER,punctate","ambigous,punctate",below threshold,34.1,12.0,SWAT-GFP
YML027W,YOX1,"ambigous,ER",vacuole,nucleus,"nucleus,cytosol",22.3,17.4,SWAT-SP-GFP
YML028W,TSA1,cytosol,0,0,"cytosol,punctate",210.9,N/D,SWAT-GFP
YML029W,USA1,ER,ER,below threshold,ambiguous,N/D,N/D,SWAT-GFP
YML031W,NDC1,"punctate,nuclear periphery","cell periphery,ER",0,nuclear periphery,56.9,N/D,SWAT-GFP
YML034W,SRC1,"nuclear periphery,punctate",nuclear periphery,nuclear periphery,nuclear periphery,44.2,13.2,SWAT-GFP
YML037C,YML037C,punctate,punctate,punctate,punctate,30.3,10.7,SWAT-GFP
YML042W,CAT2,punctate,punctate,punctate,0,73.8,10.8,SWAT-GFP
YML047C,PRM6,vacuole,vacuole,below threshold,below threshold,20.3,8.8,SWAT-GFP
YML048W,GSF2,ER,ER,ER,ER,156.4,30.0,SWAT-GFP
YML052W,SUR7,"cell periphery,punctate","cell periphery,punctate","cell periphery,punctate",punctate,51.7,27.1,SWAT-GFP
YML054C,CYB2,nucleus,nucleus,below threshold,below threshold,46.4,12.0,SWAT-GFP
YML055W,SPC2,ER,ER,ER,ER,104.8,17.9,SWAT-GFP
YML059C,NTE1,"ER,punctate","ER,punctate",below threshold,ER,55.1,13.0,SWAT-GFP
YML064C,TEM1,punctate,"punctate,nucleus",punctate,"punctate,punctate",30.2,12.3,SWAT-GFP
YML066C,SMA2,"vacuole,vacuole membrane","vacuole,vacuole membrane",vacuole,below threshold,27.0,9.3,SWAT-GFP
YML067C,ERV41,punctate,cytosol,punctate,ER,61.9,15.3,SWAT-GFP
YML071C,COG8,"cytosol,punctate","cytosol,punctate","cytosol,punctate",punctate,65.6,9.4,SWAT-GFP
YML075C,HMG1,nuclear periphery,nuclear periphery,nuclear periphery,nuclear periphery,74.7,26.7,SWAT-GFP
YML077W,BET5,punctate,punctate,punctate,below threshold,39.9,17.0,SWAT-GFP
YML081W,TDA9,nucleus,nucleus,nucleus,nucleus,36.7,11.0,SWAT-GFP
YML085C,TUB1,punctate,0,below threshold,"cytosol,punctate,punctate,punctate",230.2,11.4,SWAT-GFP
YML087C,AIM33,below threshold,below threshold,below threshold,below threshold,9.9,9.6,SWAT-GFP
YML097C,VPS9,"cytosol,punctate","cytosol,punctate","cytosol,punctate",cytosol,55.1,16.8,SWAT-GFP
YML101C,CUE4,nucleus,"ER,punctate",ER,ER,53.1,16.4,SWAT-GFP
YML104C,MDM1,"cell periphery,vacuole","cell periphery,vacuole",below threshold,ambiguous,54.9,8.7,SWAT-GFP
YML115C,VAN1,punctate,vacuole,punctate,"vacuole,punctate",67.7,21.0,SWAT-GFP
YML116W,ATR1,cell periphery,cell periphery,cell periphery,"cell periphery,vacuole",37.6,18.2,SWAT-GFP
YML120C,NDI1,mitochondria,0,0,mitochondria,N/D,N/D,SWAT-GFP
YML121W,GTR1,vacuole membrane,vacuole membrane,vacuole membrane,vacuole membrane,71.5,19.6,SWAT-GFP
YML123C,PHO84,ER,vacuole,"ER,vacuole",0,48.7,256.0,SWAT-GFP
YML124C,TUB3,punctate,punctate,below threshold,"nucleus,cytosol,punctate",164.7,8.3,SWAT-GFP
YML125C,PGA3,ER,ER,ER,ER,102.9,27.1,SWAT-GFP
YML128C,MSC1,ER,ER,ER,ER,207.8,24.3,SWAT-SP-GFP
YML130C,ERO1,ER,ER,"ambigous,ER",0,161.8,24.5,SWAT-SP-GFP
YML131W,YML131W,cytosol,cytosol,cytosol,cytosol,184.9,18.7,SWAT-GFP
YML132W,COS3,vacuole,vacuole,below threshold,vacuole,45.0,8.9,SWAT-GFP
YMR006C,PLB2,"cell periphery,ER","cell periphery,vacuole",below threshold,0,45.5,12.8,SWAT-SP-GFP
YMR008C,PLB1,"cell periphery,ER","cell periphery,vacuole",cell periphery,0,38.2,16.8,SWAT-SP-GFP
YMR010W,YMR010W,ER,ER,ER,"punctate,punctate",81.2,19.2,SWAT-GFP
YMR011W,HXT2,"cell periphery,vacuole","cell periphery,vacuole",cell periphery,"cell periphery,vacuole",67.4,28.8,SWAT-GFP
YMR013C,SEC59,ER,ER,ER,0,31.7,11.2,SWAT-GFP
YMR015C,ERG5,ER,ER,ER,ER,36.4,26.5,SWAT-GFP
YMR017W,SPO20,"below threshold,punctate","below threshold,punctate",below threshold,0,12.7,9.3,SWAT-GFP
YMR018W,YMR018W,punctate,punctate,punctate,below threshold,30.7,11.8,SWAT-GFP
YMR019W,STB4,"ambigous,mitochondria",below threshold,"ambigous,mitochondria",nucleus,17.8,9.0,SWAT-GFP
YMR020W,FMS1,ER,vacuole,below threshold,cytosol,63.6,12.7,SWAT-SP-GFP
YMR022W,UBC7,ER,nucleus,ER,ER,65.5,19.1,SWAT-GFP
YMR023C,MSS1,cytosol,cytosol,below threshold,"cytosol,mitochondria",44.5,12.7,SWAT-GFP
YMR026C,PEX12,punctate,punctate,punctate,punctate,36.0,12.6,SWAT-GFP
YMR029C,FAR8,cytosol,cytosol,below threshold,0,41.3,11.7,SWAT-GFP
YMR030W-A,YMR030W-A,ambigous,cytosol,below threshold,0,13.1,8.9,SWAT-GFP
YMR031C,EIS1,"cell periphery,punctate","cell periphery,punctate,nucleus","cell periphery,punctate",punctate,109.2,24.7,SWAT-GFP
YMR034C,YMR034C,cell periphery,"cell periphery,vacuole",below threshold,below threshold,29.3,8.9,SWAT-GFP
YMR040W,YET2,"ambigous,ER","ER,punctate",below threshold,below threshold,17.5,9.0,SWAT-GFP
YMR042W,ARG80,nucleus,nucleus,"nucleus,punctate",nucleus,34.7,13.7,SWAT-GFP
YMR052W,FAR3,"cell periphery,punctate","cell periphery,punctate","cell periphery,punctate",ER,167.6,76.3,SWAT-GFP
YMR054W,STV1,punctate,0,0,"punctate,punctate",N/D,N/D,SWAT-GFP
YMR055C,BUB2,punctate,punctate,punctate,punctate,25.6,10.4,SWAT-GFP
YMR058W,FET3,"ER,vacuole",vacuole,"ER,vacuole","ER,cell periphery,bud",93.9,105.8,SWAT-SP-GFP
YMR060C,SAM37,mitochondria,0,0,mitochondria,N/D,N/D,SWAT-GFP
YMR063W,RIM9,punctate,"cell periphery,vacuole","ambigous,punctate",below threshold,N/D,N/D,SWAT-GFP
YMR065W,KAR5,below threshold,below threshold,below threshold,below threshold,11.7,9.7,SWAT-GFP
YMR068W,AVO2,"cytosol,nucleus","cytosol,nucleus",below threshold,below threshold,36.8,13.0,SWAT-GFP
YMR071C,TVP18,punctate,"cell periphery,vacuole",punctate,punctate,81.8,35.8,SWAT-GFP
YMR077C,VPS20,cytosol,cytosol,punctate,"punctate,vacuole membrane",0.0,0.0,SWAT-GFP
YMR079W,SEC14,cytosol,cytosol,cytosol,"nucleus,cytosol",162.4,33.9,SWAT-GFP
YMR086W,SEG1,"cell periphery,punctate","cell periphery,punctate",below threshold,cell periphery,61.8,10.3,SWAT-GFP
YMR088C,VBA1,vacuole membrane,vacuole membrane,below threshold,below threshold,80.3,N/D,SWAT-GFP
YMR097C,MTG1,nucleus,nucleus,below threshold,mitochondria,19.1,8.7,SWAT-GFP
YMR101C,SRT1,punctate,punctate,below threshold,below threshold,29.8,12.3,SWAT-GFP
YMR109W,MYO5,"cell periphery,punctate,bud","cell periphery,punctate,bud","punctate,bud neck",punctate,61.0,21.5,SWAT-GFP
YMR110C,HFD1,ER,ER,ER,"punctate,punctate",78.4,21.9,SWAT-GFP
YMR118C,SHH3,mitochondria,mitochondria,below threshold,below threshold,22.8,10.8,SWAT-GFP
YMR119W,ASI1,nuclear periphery,nuclear periphery,below threshold,nuclear periphery,17.4,8.7,SWAT-GFP
YMR123W,PKR1,ER,ER,below threshold,ER,109.1,10.0,SWAT-GFP
YMR129W,POM152,"cell periphery,nuclear periphery","cell periphery,nuclear periphery",below threshold,nuclear periphery,51.7,9.7,SWAT-GFP
YMR134W,ERG29,ER,ER,cell periphery,0,N/D,N/D,SWAT-GFP
YMR147W,YMR147W,"cell periphery,punctate","cell periphery,punctate",punctate,below threshold,123.8,25.4,SWAT-SP-GFP
YMR148W,OSW5,punctate,punctate,punctate,punctate,92.9,18.7,SWAT-GFP
YMR149W,SWP1,ER,vacuole,ambigous,ER,63.5,15.2,SWAT-SP-GFP
YMR152W,YIM1,ER,ER,ER,ER,87.4,21.5,SWAT-GFP
YMR155W,YMR155W,vacuole,vacuole,below threshold,below threshold,36.6,9.1,SWAT-GFP
YMR159C,ATG16,cytosol,cytosol,below threshold,cytosol,41.0,9.6,SWAT-GFP
YMR161W,HLJ1,ER,ER,ER,ER,74.0,20.2,SWAT-GFP
YMR162C,DNF3,ER,ER,punctate,cytosol,30.4,11.5,SWAT-GFP
YMR163C,INP2,punctate,punctate,below threshold,"ambiguous,bud,punctate",21.2,13.3,SWAT-GFP
YMR165C,PAH1,cytosol,cytosol,cytosol,cytosol,54.3,14.0,SWAT-GFP
YMR171C,EAR1,ER,ER,ambigous,punctate,42.5,12.4,SWAT-SP-GFP
YMR173W,DDR48,cytosol,cytosol,cytosol,cytosol,226.3,69.6,SWAT-GFP
YMR183C,SSO2,cell periphery,cell periphery,cell periphery,"punctate,punctate",122.1,24.8,SWAT-GFP
YMR187C,YMR187C,below threshold,0,below threshold,below threshold,15.4,11.9,SWAT-GFP
YMR189W,GCV2,ER,vacuole,cytosol,mitochondria,94.6,116.5,SWAT-SP-GFP
YMR192W,GYL1,"cytosol,bud neck",0,0,"ambiguous,neck,bud,cytosol,bud neck",N/D,N/D,SWAT-GFP
YMR197C,VTI1,"vacuole membrane,punctate",vacuole membrane,ambigous,0,67.8,11.8,SWAT-GFP
YMR198W,CIK1,nucleus,nucleus,punctate,punctate,23.8,11.0,SWAT-GFP
YMR200W,ROT1,ER,ER,"ambigous,ER",ER,96.2,38.6,SWAT-SP-GFP
YMR202W,ERG2,"ER,punctate","ER,punctate","ER,punctate",ambiguous,77.3,16.2,SWAT-GFP
YMR204C,INP1,punctate,punctate,punctate,punctate,18.4,13.7,SWAT-GFP
YMR208W,ERG12,cytosol,cytosol,cytosol,"nucleus,cytosol",0.0,28.9,SWAT-GFP
YMR209C,YMR209C,ER,vacuole,below threshold,cytosol,36.0,12.1,SWAT-SP-GFP
YMR212C,EFR3,cell periphery,cell periphery,"cell periphery,punctate",cell periphery,53.4,16.7,SWAT-GFP
YMR214W,SCJ1,ER,vacuole,ER,ambiguous,97.8,48.8,SWAT-SP-GFP
YMR215W,GAS3,vacuole,vacuole,vacuole,"ER,cytosol",48.4,29.6,SWAT-SP-GFP
YMR221C,YMR221C,vacuole membrane,vacuole membrane,vacuole membrane,vacuole,91.7,15.8,SWAT-GFP
YMR226C,YMR226C,ER,vacuole,cytosol,"nucleus,cytosol",101.4,33.7,SWAT-SP-GFP
YMR231W,PEP5,punctate,punctate,punctate,punctate,41.2,14.9,SWAT-GFP
YMR232W,FUS2,nucleus,nucleus,below threshold,cytosol,23.8,9.2,SWAT-GFP
YMR237W,BCH1,punctate,"cytosol,punctate",punctate,punctate,136.8,27.9,SWAT-GFP
YMR238W,DFG5,ER,ER,ambigous,ER,129.8,21.0,SWAT-SP-GFP
YMR243C,ZRC1,vacuole membrane,vacuole membrane,vacuole membrane,vacuole membrane,141.5,43.6,SWAT-GFP
YMR244W,YMR244W,"ER,vacuole",vacuole,below threshold,below threshold,46.2,12.0,SWAT-SP-GFP
YMR246W,FAA4,punctate,punctate,punctate,punctate,84.5,37.2,SWAT-GFP
YMR247W-A,YMR247W-A,"ER,vacuole",vacuole,ambigous,0,81.4,13.5,SWAT-SP-GFP
YMR251W-A,HOR7,"cell periphery,vacuole","cell periphery,vacuole","ambigous,ER",ER,45.7,66.7,SWAT-SP-GFP
YMR253C,YMR253C,punctate,punctate,punctate,"punctate,punctate",28.9,9.5,SWAT-GFP
YMR256C,COX7,mitochondria,0,0,mitochondria,35.9,N/D,SWAT-GFP
YMR258C,ROY1,ER,ER,below threshold,"nucleus,cytosol",39.2,9.1,SWAT-GFP
YMR264W,CUE1,"ER,punctate","ER,punctate",below threshold,"ER,cytosol",73.8,10.3,SWAT-GFP
YMR266W,RSN1,"cell periphery,ER","cell periphery,ER","ambigous,ER",cell periphery,46.3,N/D,SWAT-GFP
YMR272C,SCS7,ER,ER,ER,ER,70.0,14.5,SWAT-GFP
YMR272W-B,YMR272W-B,"ER,vacuole",vacuole,below threshold,0,51.8,13.9,SWAT-SP-GFP
YMR274C,RCE1,ER,ER,below threshold,0,26.4,8.6,SWAT-GFP
YMR279C,YMR279C,cell periphery,"cell periphery,vacuole",below threshold,below threshold,38.4,10.0,SWAT-GFP
YMR281W,GPI12,ER,ER,ER,cytosol,64.1,12.4,SWAT-GFP
YMR292W,GOT1,punctate,0,0,ER,N/D,N/D,SWAT-GFP
YMR296C,LCB1,ER,ER,ER,ER,44.2,21.0,SWAT-GFP
YMR297W,PRC1,ER,vacuole,punctate,vacuole,54.0,25.3,SWAT-SP-GFP
YMR298W,LIP1,ER,ER,ER,0,180.7,28.4,SWAT-GFP
YMR300C,ADE4,ER,0,0,cytosol,N/D,N/D,SWAT-GFP
YMR304W,UBP15,ER,ER,"cytosol,punctate",cytosol,92.1,17.0,SWAT-GFP
YMR305C,SCW10,"cell periphery,vacuole","ambigous,cell periphery","ambigous,cell periphery",vacuole,31.9,35.0,SWAT-SP-GFP
YMR306W,FKS3,ER,vacuole,ER,below threshold,27.2,8.5,SWAT-GFP
YMR307W,GAS1,ER,vacuole,below threshold,"ER,nuclear periphery,mitochondria",117.1,12.4,SWAT-SP-GFP
YMR313C,TGL3,punctate,punctate,punctate,0,35.9,17.5,SWAT-GFP
YMR316C-A,YMR316C-A,ER,ER,below threshold,below threshold,42.3,12.2,SWAT-SP-GFP
YMR319C,FET4,"cell periphery,vacuole","cell periphery,vacuole","cell periphery,vacuole","cell periphery,vacuole",51.6,11.4,SWAT-GFP
YNL006W,LST8,"cytosol,punctate","cytosol,punctate","cytosol,punctate",punctate,39.2,14.2,SWAT-GFP
YNL008C,ASI3,nuclear periphery,nuclear periphery,below threshold,nuclear periphery,21.1,9.7,SWAT-GFP
